#f(Hz)     hstrain(Hz^-1/2)(x10^{-24})
10.1       153.5
10.7       107.5
11.2       86.3
11.8       71.3
13.7       46.5
15.8       33.5
19.0       24.0
23.8       15.0
27.7       11.6
33.2       8.78
37.7       7.50
44.0       6.35
49.7       5.68
61.5       4.81
76.2       4.31
106.4      3.90
144.4      3.69
179.7      3.59
275.6      3.40
357.1      3.41
484.7      3.61
499.8      9.79
517.1      3.61
585.1      3.72
770.2      4.16
873.9      4.42
1018.      4.94
1186.      5.22
1382.      5.83
1515.      6.51
1762.      7.15
2053.      7.99
2466.      9.43
2939.      11.1
3294.      12.4
3865.      14.5
4873.      17.6
